Pais,Growth Manager,Marca,Sucursal,App,Mes,Visitas,Conversión,Ordenes,Ventas,Recompra,NPS,Disponibilidad,Órdenes con Demora (%),Órdenes Canceladas (%),Tiempo de Preparación
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 nov 2024,6934,0.1611,1117,23340917.5,,4.5,0.9913,0.1611,0.0018,21
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 may 2025,9314,0.1196,1114,29825864,,4.5,0.9789,0.1196,0.0018,17
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 may 2025,8345,0.1311,1094,27809617,,4.5,0.9768,0.1311,0.0036,15
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 nov 2024,6293,0.1667,1049,21398813,,4.6,0.9954,0.1667,0.0009,17
Argentina,Juanchi,MARCA B,Belgrano,Rappi,1 jul 2024,5629,0.186,1047,18128600,0.6695,4.2,0.9876,,0,
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 dic 2024,1069,0.9524,1018,21600936.25,,4.7,0.9726,0.9524,0.0039,16
Argentina,Juanchi,MARCA B,Devoto,Pedidos Ya,1 may 2025,8160,0.1201,980,23961690.5,,4.7,0.9745,0.1201,0.003,14
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 oct 2024,7147,0.136,972,21070714,,4.6,0.9937,0.136,0,22
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 abr 2025,6168,0.1571,969,23707573.5,,4.6,0.987,0.1571,0.0041,15
Argentina,Juanchi,MARCA B,Urquiza,Rappi,1 jul 2024,5089,0.19,967,19479015,0.6887,4.35,0.9959,,0,
Argentina,Juanchi,MARCA B,Urquiza,Rappi,1 ago 2024,6653,0.144,958,18560095,0.6858,4.5,0.985,,0,
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 abr 2025,6614,0.1447,957,23336324.25,,4.5,0.9826,0.1447,0.001,17
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 jun 2025,7279,0.1268,923,26755190.45,,4.5,0.9796,0.1268,0.0043,15
Argentina,Juanchi,MARCA B,Devoto,Pedidos Ya,1 jul 2024,5709,0.1587,906,15956087,,4.5,0.9751,0.1587,0.0011,17
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 jun 2025,7475,0.1212,906,26477707.5,,4.4,0.9714,0.1212,0.0033,16
